phase,flux,flux2d,model
-0.08082832331329326,-0.010058750000000005,-0.009667499999999607,-0.01000212285268931
-0.07949231796927186,-0.010073124999999683,-0.009680624999999887,-0.010002167263775896
-0.07815631262525052,-0.01004124999999978,-0.009701250000000328,-0.010002210717905857
-0.07682030728122913,-0.010058125000000251,-0.009720000000000395,-0.010002253229343006
-0.07548430193720773,-0.010043749999999685,-0.009737500000000177,-0.010002294811745083
-0.07414829659318639,-0.010059374999999648,-0.009713750000000076,-0.01000233547819418
-0.072812291249165,-0.01005374999999964,-0.00974625000000029,-0.010002375241226158
-0.0714762859051436,-0.010065000000000324,-0.009736875000000311,-0.010002414112858182
-0.07014028056112226,-0.010062499999999863,-0.009713124999999989,-0.01000245210461359
-0.06880427521710086,-0.01010624999999954,-0.009720000000000617,-0.010002489227545763
-0.06746826987307952,-0.01011250000000019,-0.009701875000000193,-0.010002525492259884
-0.06613226452905813,-0.01009062500000013,-0.009726874999999913,-0.010002560908934255
-0.06479625918503673,-0.010091250000000107,-0.009786250000000107,-0.010002595487338839
-0.06346025384101539,-0.010097500000000537,-0.00977812499999986,-0.010002629236854021
-0.062124248496993995,-0.010095000000000298,-0.009766875000000175,-0.010002662166487264
-0.0607882431529726,-0.010066249999999832,-0.009814999999999463,-0.010002694284889091
-0.05945223780895126,-0.010048750000000495,-0.00977187500000043,-0.010002725600368079
-0.05811623246492986,-0.010077500000000406,-0.00982562500000006,-0.010002756120904732
-0.056780227120908466,-0.010072500000000262,-0.009838125000000142,-0.010002785854165142
-0.055444221776887126,-0.01006875000000007,-0.009806250000000127,-0.010002814807512861
-0.05410821643286573,-0.010037499999999921,-0.009803124999999802,-0.01000284298802101
-0.052772211088844334,-0.010046249999999701,-0.009808124999999612,-0.010002870402483155
-0.051436205744822994,-0.01004312499999993,-0.009830624999999982,-0.010002897057423632
-0.0501002004008016,-0.010049375000000027,-0.009818749999999654,-0.010002922959107319
-0.04876419505678026,-0.010051875000000043,-0.009831250000000069,-0.010002948113548848
-0.04742818971275886,-0.01005437500000017,-0.009858125000000606,-0.010002972526521492
-0.046092184368737465,-0.01006000000000018,-0.009836875000000078,-0.010002996203564929
-0.044756179024716125,-0.010036874999999945,-0.00985500000000028,-0.010003019149993575
-0.04342017368069473,-0.010026875000000102,-0.009871250000000109,-0.010003041370903354
